Capacity data calculated from MERRA-2
""
BEGIN_DATA
year,month,day,hour,w_cfs
2018,10,9,22,0.4219237778564122
2018,10,9,23,0.3866875063438289
2018,10,9,24,0.3710047960750312
2018,10,10,1,0.38323999976294343
2018,10,10,2,0.37819939594502744
2018,10,10,3,0.35198980850519074
2018,10,10,4,0.2820362367940413
2018,10,10,5,0.22707975690392207
2018,10,10,6,0.18458373883675794
2018,10,10,7,0.15369172568070943
2018,10,10,8,0.1435248792116607
2018,10,10,9,0.12268004664081844
2018,10,10,10,0.10600562520617661
2018,10,10,11,0.0818229078764759
2018,10,10,12,0.05945527990311084
2018,10,10,13,0.07466792373010905
2018,10,10,14,0.07765018908606995
2018,10,10,15,0.08787424117233512
2018,10,10,16,0.07909238199135686
2018,10,10,17,0.08222206604542283
2018,10,10,18,0.10974071474070139
2018,10,10,19,0.1075051849712185
2018,10,10,20,0.0943226672298756
2018,10,10,21,0.0749627416590523
2018,10,10,22,0.0866869375726896
2018,10,10,23,0.08623642175087766
2018,10,10,24,0.08709673507118572
2018,10,11,1,0.0852518235038894
2018,10,11,2,0.08416237328588684
2018,10,11,3,0.08192331088108668
2018,10,11,4,0.08899330355074347
2018,10,11,5,0.0990438943530825
2018,10,11,6,0.11108296466112812
2018,10,11,7,0.12468629647234394
2018,10,11,8,0.1429508835784623
2018,10,11,9,0.14126896719392076
2018,10,11,10,0.15356864262392192
2018,10,11,11,0.16621326305908368
2018,10,11,12,0.1824898016703977
2018,10,11,13,0.2330972486229596
2018,10,11,14,0.2911687308299301
2018,10,11,15,0.3207005007996986
2018,10,11,16,0.2823317723173832
2018,10,11,17,0.2113144165318792
2018,10,11,18,0.15886988288718187
2018,10,11,19,0.1390863453606084
2018,10,11,20,0.13989455515376167
2018,10,11,21,0.21085854580189328
2018,10,11,22,0.24901603048633905
2018,10,11,23,0.2525533926703289
2018,10,11,24,0.21138054140056317
2018,10,12,1,0.12547386949811798
2018,10,12,2,0.09157933616855443
2018,10,12,3,0.07441638613989651
2018,10,12,4,0.04564648982011211
2018,10,12,5,0.032699035531986935
2018,10,12,6,0.034222339741917386
2018,10,12,7,0.03574438925824334
2018,10,12,8,0.05519947351990168
2018,10,12,9,0.06996893456451864
2018,10,12,10,0.09908097053756815
2018,10,12,11,0.14277334308698414
2018,10,12,12,0.18842179185176244
2018,10,12,13,0.21983552756513725
2018,10,12,14,0.21353361690499625
2018,10,12,15,0.26407676702646643
2018,10,12,16,0.29124318580858877
2018,10,12,17,0.3064598685507715
2018,10,12,18,0.3006469006685478
2018,10,12,19,0.2604612126372503
2018,10,12,20,0.2511530215640224
2018,10,12,21,0.289410386751717
2018,10,12,22,0.29457094539897727
2018,10,12,23,0.24814690389607247
2018,10,12,24,0.22742757205977962
2018,10,13,1,0.19175890749292315
2018,10,13,2,0.19447694675557511
2018,10,13,3,0.17024410260674494
2018,10,13,4,0.14282515790593134
2018,10,13,5,0.12706550802642155
2018,10,13,6,0.09476246718947091
2018,10,13,7,0.06068749851988117
2018,10,13,8,0.039118360549848935
2018,10,13,9,0.051762808547451945
2018,10,13,10,0.06935850876330223
2018,10,13,11,0.053524643605576266
2018,10,13,12,0.022773837452038245
2018,10,13,13,0.04790340497836018
2018,10,13,14,0.07523697833137728
2018,10,13,15,0.09456565581220053
2018,10,13,16,0.11531952003006173
2018,10,13,17,0.11219443566426138
2018,10,13,18,0.10363770760130439
2018,10,13,19,0.08791825629305224
2018,10,13,20,0.0848742260828699
2018,10,13,21,0.12988219705842297
2018,10,13,22,0.2300407252125641
2018,10,13,23,0.2163016753940237
2018,10,13,24,0.1998762332543931
2018,10,14,1,0.19594471495175098
2018,10,14,2,0.17007555433714924
2018,10,14,3,0.1669851323802842
2018,10,14,4,0.15862312489502556
2018,10,14,5,0.15438190953531536
2018,10,14,6,0.1463101050465286
2018,10,14,7,0.14277724406307168
2018,10,14,8,0.13427914794136267
2018,10,14,9,0.10694982236268595
2018,10,14,10,0.09412255339169481
2018,10,14,11,0.07575032653149279
2018,10,14,12,0.04970191131544221
2018,10,14,13,0.12700589768001952
2018,10,14,14,0.20352243523993208
2018,10,14,15,0.20719832837714072
2018,10,14,16,0.20789255132304496
2018,10,14,17,0.21316929037207882
2018,10,14,18,0.20914108093868505
2018,10,14,19,0.18267180576298214
2018,10,14,20,0.14837369177795726
2018,10,14,21,0.24133688471106418
2018,10,14,22,0.3763281472542514
2018,10,14,23,0.3360297070900574
2018,10,14,24,0.296269138201857
2018,10,15,1,0.23494876477243798
2018,10,15,2,0.20994226111252962
2018,10,15,3,0.19938389042806723
2018,10,15,4,0.20020177874880435
2018,10,15,5,0.19823302457558656
2018,10,15,6,0.16909188886476392
2018,10,15,7,0.13461000126026698
2018,10,15,8,0.11642190015790382
2018,10,15,9,0.10970464245966666
2018,10,15,10,0.11203398420028984
2018,10,15,11,0.11931933330983864
2018,10,15,12,0.051507753705066696
2018,10,15,13,0.02958661056222047
2018,10,15,14,0.09313870961127658
2018,10,15,15,0.18511428157962598
2018,10,15,16,0.2570233888627712
2018,10,15,17,0.31430889664435313
2018,10,15,18,0.3521481676802569
2018,10,15,19,0.3761136346880977
2018,10,15,20,0.4201164934869391
2018,10,15,21,0.5498631320529233
2018,10,15,22,0.6502078162626981
2018,10,15,23,0.6772501060518509
2018,10,15,24,0.7249232922926572
2018,10,16,1,0.7216406581990052
2018,10,16,2,0.7502321043725866
2018,10,16,3,0.7891719414328098
2018,10,16,4,0.8374834759807804
2018,10,16,5,0.9114476670704555
2018,10,16,6,0.9877723007192383
2018,10,16,7,1.0
2018,10,16,8,0.9988466530181722
2018,10,16,9,0.9484204386621472
2018,10,16,10,0.9103858644143419
2018,10,16,11,0.877026162027359
2018,10,16,12,0.8559910049595847
2018,10,16,13,0.8553879346059501
2018,10,16,14,0.8491430849012377
2018,10,16,15,0.8189242838590157
2018,10,16,16,0.7569136773566447
2018,10,16,17,0.710562971854737
2018,10,16,18,0.6422756622882153
2018,10,16,19,0.5413017760976373
2018,10,16,20,0.4446192040930678
2018,10,16,21,0.37375968661091713
2018,10,16,22,0.3641521450526136
2018,10,16,23,0.3470788690311076
2018,10,16,24,0.29185247382358204
2018,10,17,1,0.2380512443799087
2018,10,17,2,0.19575864155400657
2018,10,17,3,0.19886066953533002
2018,10,17,4,0.20190520279047336
2018,10,17,5,0.1955668683173752
2018,10,17,6,0.19406408510861756
2018,10,17,7,0.18762283117166212
2018,10,17,8,0.17896436956055742
2018,10,17,9,0.15763454082436448
2018,10,17,10,0.1473332755226275
2018,10,17,11,0.1448653349986247
2018,10,17,12,0.1301424397266141
2018,10,17,13,0.1498318018716484
2018,10,17,14,0.2643679160420306
2018,10,17,15,0.3980751152291016
2018,10,17,16,0.4798529300137497
2018,10,17,17,0.4906452239035299
2018,10,17,18,0.44765553732064595
2018,10,17,19,0.42060829909479786
2018,10,17,20,0.3747277049576366
2018,10,17,21,0.3576597777010028
2018,10,17,22,0.3504439223460874
2018,10,17,23,0.3634259134264777
2018,10,17,24,0.3762348372172648
2018,10,18,1,0.38441508360589
2018,10,18,2,0.3697832933272037
2018,10,18,3,0.3565308035009157
2018,10,18,4,0.37243656285762455
2018,10,18,5,0.38127094195484806
2018,10,18,6,0.4119726575258226
2018,10,18,7,0.4712010244948486
2018,10,18,8,0.5411172092258282
2018,10,18,9,0.6127247185717689
2018,10,18,10,0.685033393426378
2018,10,18,11,0.7454474163015101
2018,10,18,12,0.8130529585843985
2018,10,18,13,0.8836277962393667
2018,10,18,14,0.8940363096782709
2018,10,18,15,0.8765241914006141
2018,10,18,16,0.8619943736387811
2018,10,18,17,0.8564072529854274
2018,10,18,18,0.8579014472888719
2018,10,18,19,0.8451084813268347
2018,10,18,20,0.7674974091318261
2018,10,18,21,0.6380209231964484
2018,10,18,22,0.5122876529559636
2018,10,18,23,0.4633161945621313
2018,10,18,24,0.41562506576230995
2018,10,19,1,0.34765272428881205
2018,10,19,2,0.2789337376975964
2018,10,19,3,0.22072264129820168
2018,10,19,4,0.1879409852827514
2018,10,19,5,0.14440776264239596
2018,10,19,6,0.1256129513331411
2018,10,19,7,0.09349967684777157
2018,10,19,8,0.08409718278122455
2018,10,19,9,0.08181377137515637
2018,10,19,10,0.08960829925736367
2018,10,19,11,0.09801167508256588
2018,10,19,12,0.05416331572609117
2018,10,19,13,0.06977746329508555
2018,10,19,14,0.08931383513263057
2018,10,19,15,0.10568659205991673
2018,10,19,16,0.12961077699876664
2018,10,19,17,0.15444614261067274
2018,10,19,18,0.1739662963743212
2018,10,19,19,0.1848311005300249
2018,10,19,20,0.20773999326128095
2018,10,19,21,0.3423122303087397
2018,10,19,22,0.3956352797485668
2018,10,19,23,0.354950150146576
2018,10,19,24,0.3050613030620067
2018,10,20,1,0.31362085175325277
2018,10,20,2,0.3209144783947389
2018,10,20,3,0.31756076788969645
2018,10,20,4,0.31479028551077687
2018,10,20,5,0.35647586295572736
2018,10,20,6,0.3523386453784441
2018,10,20,7,0.32515653349449175
2018,10,20,8,0.32038403261419274
2018,10,20,9,0.31611095366141206
2018,10,20,10,0.3467697152644823
2018,10,20,11,0.3661908108427849
2018,10,20,12,0.3760239704137924
2018,10,20,13,0.4991224342729673
2018,10,20,14,0.6334006775409932
2018,10,20,15,0.7575840758674236
2018,10,20,16,0.8088777658707659
2018,10,20,17,0.8045348696046652
2018,10,20,18,0.7442951896691289
2018,10,20,19,0.6445958549539879
2018,10,20,20,0.5368266366148501
2018,10,20,21,0.5181562724248869
2018,10,20,22,0.5199716331250888
2018,10,20,23,0.45341777209571676
2018,10,20,24,0.3692955226792758
2018,10,21,1,0.3013486144417644
2018,10,21,2,0.25883640705065947
2018,10,21,3,0.24249058393132347
2018,10,21,4,0.22548802555792263
2018,10,21,5,0.20166093953256986
2018,10,21,6,0.17748984713451701
2018,10,21,7,0.16098610089697865
2018,10,21,8,0.1446804197442662
2018,10,21,9,0.1359702744097923
2018,10,21,10,0.12235863311502786
2018,10,21,11,0.12390776285143013
2018,10,21,12,0.18382833393200132
2018,10,21,13,0.33396156247114367
2018,10,21,14,0.3620315727965716
2018,10,21,15,0.36718442313398825
2018,10,21,16,0.37088378471158595
2018,10,21,17,0.38884952316112675
2018,10,21,18,0.4077742704013193
2018,10,21,19,0.42077046822854197
2018,10,21,20,0.40556016205817935
2018,10,21,21,0.37653278559982917
2018,10,21,22,0.3647852274080608
2018,10,21,23,0.3615996737379307
2018,10,21,24,0.34627930024570047
2018,10,22,1,0.31025517141444675
2018,10,22,2,0.2863497808407335
2018,10,22,3,0.25703309471846014
2018,10,22,4,0.22855163962259728
2018,10,22,5,0.2132653360543571
2018,10,22,6,0.19228934884576784
2018,10,22,7,0.1786936013671153
2018,10,22,8,0.1736106888875322
2018,10,22,9,0.1871037084127877
2018,10,22,10,0.1892901982940387
2018,10,22,11,0.18215472947029399
2018,10,22,12,0.1644243934894928
2018,10,22,13,0.3178499775274153
2018,10,22,14,0.3416948466092763
2018,10,22,15,0.305502884652206
2018,10,22,16,0.29008359789311505
2018,10,22,17,0.28529467865713454
2018,10,22,18,0.2749825794777167
2018,10,22,19,0.2460607408410427
2018,10,22,20,0.1878073336194071
2018,10,22,21,0.18301351444136071
2018,10,22,22,0.22569327903660513
2018,10,22,23,0.22134329864270602
2018,10,22,24,0.18822796730493152
2018,10,23,1,0.1552403481389672
2018,10,23,2,0.11975708807672245
2018,10,23,3,0.09697856212962581
2018,10,23,4,0.08380708121397479
2018,10,23,5,0.0718798830843729
2018,10,23,6,0.06226246673222658
2018,10,23,7,0.055480878613680076
2018,10,23,8,0.04929262987495849
2018,10,23,9,0.04633514050526868
2018,10,23,10,0.04682454589926428
2018,10,23,11,0.06097317041062817
2018,10,23,12,0.05559740074687408
2018,10,23,13,0.040108151953303195
2018,10,23,14,0.05247785080890427
2018,10,23,15,0.06274027743936918
2018,10,23,16,0.06354048764941311
2018,10,23,17,0.05674941890593782
2018,10,23,18,0.04632318036288128
2018,10,23,19,0.043143808388183276
2018,10,23,20,0.06615740984118096
2018,10,23,21,0.15141928410634636
2018,10,23,22,0.20052977159553037
2018,10,23,23,0.16358975983191132
2018,10,23,24,0.1572544220515671
2018,10,24,1,0.143157058715354
2018,10,24,2,0.13810641289653158
2018,10,24,3,0.12319686551233822
2018,10,24,4,0.15113530502603653
2018,10,24,5,0.17176419553320452
2018,10,24,6,0.19198336587854975
2018,10,24,7,0.2090393439942511
2018,10,24,8,0.21942957915661307
2018,10,24,9,0.21921297190750447
2018,10,24,10,0.21419006252447695
2018,10,24,11,0.20630055638993525
2018,10,24,12,0.2087579262647778
2018,10,24,13,0.2553417596521532
2018,10,24,14,0.2805394675301325
2018,10,24,15,0.3121780493338162
2018,10,24,16,0.34585666399520837
2018,10,24,17,0.41183375160165936
2018,10,24,18,0.49154522119800026
2018,10,24,19,0.562960284212376
2018,10,24,20,0.5900280307203376
2018,10,24,21,0.5941732501872545
2018,10,24,22,0.5897010997390388
2018,10,24,23,0.5664630699438157
2018,10,24,24,0.5416145041593936
2018,10,25,1,0.5095283072669583
2018,10,25,2,0.4791102484748832
2018,10,25,3,0.4598553583052608
2018,10,25,4,0.457549119746153
2018,10,25,5,0.4431622915514845
2018,10,25,6,0.4157962738868383
2018,10,25,7,0.3959951522078467
2018,10,25,8,0.38143571936307935
2018,10,25,9,0.37951266338024287
2018,10,25,10,0.37741880295568375
2018,10,25,11,0.3820261550414536
2018,10,25,12,0.3773656533311706
2018,10,25,13,0.5287914897148515
2018,10,25,14,0.6408997753434414
2018,10,25,15,0.6464547207448323
2018,10,25,16,0.6439462923882551
2018,10,25,17,0.6388778049188644
2018,10,25,18,0.6266798995647831
2018,10,25,19,0.5920428532798898
2018,10,25,20,0.5370837852912826
2018,10,25,21,0.5683441457932894
2018,10,25,22,0.5909358175809244
2018,10,25,23,0.5892727220953015
2018,10,25,24,0.5887028157222189
2018,10,26,1,0.5552813702150498
2018,10,26,2,0.5325161925002194
2018,10,26,3,0.5277503309960273
2018,10,26,4,0.5262073126401102
2018,10,26,5,0.5198238892840468
2018,10,26,6,0.5148169168213882
2018,10,26,7,0.4925349070210921
2018,10,26,8,0.4787940930099115
2018,10,26,9,0.46697418727146994
2018,10,26,10,0.4595947453665278
2018,10,26,11,0.4422931844398459
2018,10,26,12,0.39155732927825404
2018,10,26,13,0.48230098947249267
2018,10,26,14,0.5544976127833399
2018,10,26,15,0.5032990568312304
2018,10,26,16,0.4541089491190376
2018,10,26,17,0.4335493132154922
2018,10,26,18,0.40194083444676193
2018,10,26,19,0.3358100733256821
2018,10,26,20,0.24357081838451272
2018,10,26,21,0.2503860438377123
2018,10,26,22,0.26759145016326175
2018,10,26,23,0.23869421415377062
2018,10,26,24,0.210573179699418
2018,10,27,1,0.1859806748284459
2018,10,27,2,0.17520220153178775
2018,10,27,3,0.13760109229120937
2018,10,27,4,0.0889873378509931
2018,10,27,5,0.06842752507732278
2018,10,27,6,0.06501564692498779
2018,10,27,7,0.07561287499705646
2018,10,27,8,0.10678423628880138
2018,10,27,9,0.11690070401301739
2018,10,27,10,0.13188743543790057
2018,10,27,11,0.15583553692674695
2018,10,27,12,0.14869799876203493
2018,10,27,13,0.17495313433044046
2018,10,27,14,0.18208596579600717
2018,10,27,15,0.19382238475922026
2018,10,27,16,0.21366364467674528
2018,10,27,17,0.2397196221975266
2018,10,27,18,0.2781003172963288
2018,10,27,19,0.22923799234719439
2018,10,27,20,0.2288278825950629
2018,10,27,21,0.2548546687247986
2018,10,27,22,0.2729438425594872
2018,10,27,23,0.3189695426298302
2018,10,27,24,0.3806536815168021
2018,10,28,1,0.4216931062970766
2018,10,28,2,0.46600054783669304
2018,10,28,3,0.5203337216941579
2018,10,28,4,0.5807580696371175
2018,10,28,5,0.6140470850567961
2018,10,28,6,0.6237450853711524
2018,10,28,7,0.6561808215503178
2018,10,28,8,0.63420937817253
2018,10,28,9,0.5329719050171342
2018,10,28,10,0.4697637447667544
2018,10,28,11,0.397467243344103
2018,10,28,12,0.33528743681006135
2018,10,28,13,0.2854386981194164
2018,10,28,14,0.2544638259627476
2018,10,28,15,0.23755344855053728
2018,10,28,16,0.22927121742821832
2018,10,28,17,0.2231713289420735
2018,10,28,18,0.20662951381058056
2018,10,28,19,0.18958970062854666
2018,10,28,20,0.18062278577230365
2018,10,28,21,0.17747259373761082
2018,10,28,22,0.19203042893081934
2018,10,28,23,0.19222291967804345
2018,10,28,24,0.18192355470880392
2018,10,29,1,0.1696883131321608
2018,10,29,2,0.15534350525747345
2018,10,29,3,0.10162107125588878
2018,10,29,4,0.0800584586511746
2018,10,29,5,0.08211295099701274
2018,10,29,6,0.0825826300645481
2018,10,29,7,0.048078268305462434
2018,10,29,8,0.05896739894387808
2018,10,29,9,0.07471174471765037
2018,10,29,10,0.08246358373903644
2018,10,29,11,0.07919553305119745
2018,10,29,12,0.05812016104128997
2018,10,29,13,0.052230147533057596
2018,10,29,14,0.07744573755508583
2018,10,29,15,0.11978668081883832
2018,10,29,16,0.14044808232171918
2018,10,29,17,0.12305160021421493
2018,10,29,18,0.09842642606547429
2018,10,29,19,0.07839034040290106
2018,10,29,20,0.0753524445872178
2018,10,29,21,0.10074224671483052
2018,10,29,22,0.11050399710529557
2018,10,29,23,0.09342103423490672
2018,10,29,24,0.08731484678210454
2018,10,30,1,0.1022189963889403
2018,10,30,2,0.12006426861348274
2018,10,30,3,0.13085289054440533
2018,10,30,4,0.13806104344019762
2018,10,30,5,0.13666202335537697
2018,10,30,6,0.13492272995879268
2018,10,30,7,0.11704644211541533
2018,10,30,8,0.10981983592510976
2018,10,30,9,0.10716397600158752
2018,10,30,10,0.09931200087079212
2018,10,30,11,0.10115240002122272
2018,10,30,12,0.07204931170161986
2018,10,30,13,0.09415471548859808
2018,10,30,14,0.11473704632518981
2018,10,30,15,0.12065365912275362
2018,10,30,16,0.1300591912385733
